ocorrencia,task,info
2023-11-23T17:38:12.819+0000,manager.py:484,Process each file at most once every 30 seconds
2023-11-23T17:38:12.820+0000,manager.py:486,Checking for new files in /opt/airflow/dags every 20 seconds
2023-11-23T17:38:12.820+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:12.826+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.975+0000,manager.py:854,
2023-11-23T17:38:33.212+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:33.213+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:43.289+0000,manager.py:854,
2023-11-23T17:38:53.341+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:53.343+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.429+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:13.430+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.436+0000,manager.py:854,
2023-11-23T17:39:33.662+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:33.664+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:43.721+0000,manager.py:854,
2023-11-23T17:38:12.815+0000,manager.py:483,Processing files using up to 2 processes at a time 
2023-11-23T17:38:12.819+0000,manager.py:484,Process each file at most once every 30 seconds
2023-11-23T17:38:12.820+0000,manager.py:486,Checking for new files in /opt/airflow/dags every 20 seconds
2023-11-23T17:38:12.820+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:12.826+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.975+0000,manager.py:854,
2023-11-23T17:38:33.212+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:33.213+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:43.289+0000,manager.py:854,
2023-11-23T17:38:53.341+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:53.343+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.429+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:13.430+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.436+0000,manager.py:854,
2023-11-23T17:39:33.662+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:33.664+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:43.721+0000,manager.py:854,
2023-11-23T17:39:53.837+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:53.838+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.938+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:13.940+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.952+0000,manager.py:854,
2023-11-23T17:38:12.815+0000,manager.py:483,Processing files using up to 2 processes at a time 
2023-11-23T17:38:12.819+0000,manager.py:484,Process each file at most once every 30 seconds
2023-11-23T17:38:12.820+0000,manager.py:486,Checking for new files in /opt/airflow/dags every 20 seconds
2023-11-23T17:38:12.820+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:12.826+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.975+0000,manager.py:854,
2023-11-23T17:38:33.212+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:33.213+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:43.289+0000,manager.py:854,
2023-11-23T17:38:53.341+0000,manager.py:726,Searching for files in /opt/airflow/dags
